2011-10-28 02:46:01.3264|WARN|F9S1.RememberMe.Storage|Contents file did not exist
2011-10-28 04:51:28.5129|INFO|F9S1.RememberMe.Parser|No name entered
2011-10-28 05:08:31.4814|INFO|F9S1.RememberMe.Parser|Incorrect Date format
2011-10-28 05:08:42.2640|INFO|F9S1.RememberMe.Parser|Incorrect Date format
2011-10-28 05:17:01.8936|INFO|F9S1.RememberMe.Register|Task not found
2011-10-28 05:18:20.3321|INFO|F9S1.RememberMe.Parser|Label not found
2011-10-28 05:24:19.6456|INFO|F9S1.RememberMe.Register|Task not found
2011-10-28 05:24:34.5795|INFO|F9S1.RememberMe.Register|Task not found
2011-10-28 05:24:44.5461|INFO|F9S1.RememberMe.Register|Task not found
2011-10-28 05:24:59.7819|INFO|F9S1.RememberMe.Register|Task not found
2011-10-28 05:25:03.0531|INFO|F9S1.RememberMe.Parser|Incorrect Date format
2011-10-28 09:31:40.4031|INFO|F9S1.RememberMe.Parser|No name entered
2011-10-28 09:31:44.0353|INFO|F9S1.RememberMe.Parser|Incorrect Date format
2011-10-28 09:32:59.0016|WARN|F9S1.RememberMe.Alarm|Incorrect minutes format
2011-10-28 09:32:59.4396|WARN|F9S1.RememberMe.Alarm|Incorrect minutes format
2011-10-28 09:33:05.9850|WARN|F9S1.RememberMe.Alarm|Incorrect minutes format
2011-10-28 09:40:54.1608|INFO|F9S1.RememberMe.Parser|Label not found
2011-10-28 09:54:39.5900|INFO|F9S1.RememberMe.Parser|Label not found
2011-10-29 16:34:10.6932|INFO|F9S1.RememberMe.Register|Task not found
2011-10-29 16:48:05.5080|INFO|F9S1.RememberMe.Register|Task not found
2011-10-29 17:16:19.4529|INFO|F9S1.RememberMe.Register|No more redos
2011-10-29 17:17:58.2135|INFO|F9S1.RememberMe.Register|No more undos
2011-10-29 17:20:32.4773|INFO|F9S1.RememberMe.Register|No more undos
2011-10-29 17:20:36.1235|INFO|F9S1.RememberMe.Register|No more undos
2011-10-29 17:20:39.7948|INFO|F9S1.RememberMe.Register|No more undos
2011-10-29 17:20:54.5046|INFO|F9S1.RememberMe.Register|Task not found
2011-10-29 17:21:03.1671|INFO|F9S1.RememberMe.Register|Task not found
2011-10-29 17:23:08.6833|INFO|F9S1.RememberMe.Register|No more redos
2011-10-29 17:24:05.8945|INFO|F9S1.RememberMe.Register|No more redos
